index,short_doc,full_doc,category_gold
groups/talk.politics.misc/177008,cc0a43c8-ccc2-4746-be63-d58970795e3e.png,cc0a43c8-ccc2-4746-be63-d58970795e3e-full,talk_politics_misc
groups/talk.politics.misc/177006,aedb6ff7-151d-444f-a332-31a83051f497.png,aedb6ff7-151d-444f-a332-31a83051f497-full,talk_politics_misc
groups/talk.politics.misc/178746,8644dab5-4b2d-480f-8527-530e554de935.png,8644dab5-4b2d-480f-8527-530e554de935-full,talk_politics_misc
groups/talk.politics.misc/179021,eb43e4d5-aa95-4a73-8e10-9016dd78510a.png,eb43e4d5-aa95-4a73-8e10-9016dd78510a-full,talk_politics_misc
groups/talk.politics.misc/176910,8e6ed728-506f-4437-aa27-9f1ba2130e23.png,8e6ed728-506f-4437-aa27-9f1ba2130e23-full,talk_politics_misc
groups/talk.politics.misc/178573,35a84ee9-b50c-4144-96ed-639501c9ef05.png,35a84ee9-b50c-4144-96ed-639501c9ef05-full,talk_politics_misc
groups/talk.politics.misc/176918,7bc51597-8176-4ef6-871e-9f908ad73887.png,7bc51597-8176-4ef6-871e-9f908ad73887-full,talk_politics_misc
groups/talk.politics.misc/179014,f0f11010-e8a8-44a2-9dcf-2de36855253f.png,f0f11010-e8a8-44a2-9dcf-2de36855253f-full,talk_politics_misc
groups/talk.politics.misc/178314,a02bc0fa-3bce-4ce6-b1b6-71b01a54cc9e.png,a02bc0fa-3bce-4ce6-b1b6-71b01a54cc9e-full,talk_politics_misc
groups/talk.politics.misc/178504,8423c6c1-0cee-46df-b493-ece1fe23997c.png,8423c6c1-0cee-46df-b493-ece1fe23997c-full,talk_politics_misc
groups/talk.politics.misc/178946,807ded65-6fbf-47bd-bdc6-b87c07974c48.png,807ded65-6fbf-47bd-bdc6-b87c07974c48-full,talk_politics_misc
groups/talk.politics.misc/178834,6d9e2de3-8eff-40ec-9f36-3c7e43c9f23a.png,6d9e2de3-8eff-40ec-9f36-3c7e43c9f23a-full,talk_politics_misc
groups/talk.politics.misc/178808,30b3a602-0a00-4123-b9f9-e4485b6968f9.png,30b3a602-0a00-4123-b9f9-e4485b6968f9-full,talk_politics_misc
groups/talk.politics.misc/178850,a617373f-e837-494d-89de-633510845f1a.png,a617373f-e837-494d-89de-633510845f1a-full,talk_politics_misc
groups/talk.politics.misc/178632,3ac316d0-ae4c-4c42-b049-f8c5dd14e4eb.png,3ac316d0-ae4c-4c42-b049-f8c5dd14e4eb-full,talk_politics_misc
groups/talk.politics.misc/178891,e7611d8f-90c0-4c80-9aaa-3ae20a72c8eb.png,e7611d8f-90c0-4c80-9aaa-3ae20a72c8eb-full,talk_politics_misc
groups/talk.politics.misc/179054,adabea96-623e-4bf2-9c0e-0b4ca416bd41.png,adabea96-623e-4bf2-9c0e-0b4ca416bd41-full,talk_politics_misc
groups/talk.politics.misc/178430,482ca6a3-c6d6-4412-8f22-1f9e39a18a95.png,482ca6a3-c6d6-4412-8f22-1f9e39a18a95-full,talk_politics_misc
groups/talk.politics.misc/178804,116af04d-f554-46f6-87e7-3c045d463a0b.png,116af04d-f554-46f6-87e7-3c045d463a0b-full,talk_politics_misc
groups/talk.politics.misc/178803,3777eea6-f58d-419c-bf45-35d6c9fdaef1.png,3777eea6-f58d-419c-bf45-35d6c9fdaef1-full,talk_politics_misc
groups/talk.politics.misc/179024,d15b21c3-2324-4db4-bae5-5594288ca94d.png,d15b21c3-2324-4db4-bae5-5594288ca94d-full,talk_politics_misc
groups/talk.politics.misc/178452,731e881b-73ce-4368-8d65-b7fd17f9b9b4.png,731e881b-73ce-4368-8d65-b7fd17f9b9b4-full,talk_politics_misc
groups/talk.politics.misc/178671,75a50bdd-e457-44f6-bdbf-9910385cab5a.png,75a50bdd-e457-44f6-bdbf-9910385cab5a-full,talk_politics_misc
groups/talk.politics.misc/178510,f152a2cf-a3a1-4a61-a9e1-e08a8ee6ef57.png,f152a2cf-a3a1-4a61-a9e1-e08a8ee6ef57-full,talk_politics_misc
groups/talk.politics.misc/178450,1fa3b67c-48bf-412e-9c52-100ebd5c5fd3.png,1fa3b67c-48bf-412e-9c52-100ebd5c5fd3-full,talk_politics_misc
groups/talk.politics.misc/177013,3856f502-4fb2-4459-9b23-a2abb893a87e.png,3856f502-4fb2-4459-9b23-a2abb893a87e-full,talk_politics_misc
groups/talk.politics.misc/178904,4af3ca4c-90ca-413c-acfb-a746a2b30fe4.png,4af3ca4c-90ca-413c-acfb-a746a2b30fe4-full,talk_politics_misc
groups/talk.politics.misc/178828,ce43a0cc-594a-481e-993c-030609599ffa.png,ce43a0cc-594a-481e-993c-030609599ffa-full,talk_politics_misc
groups/talk.politics.misc/179008,1ba55ae6-fc73-4962-86e9-0fa10f03cc71.png,1ba55ae6-fc73-4962-86e9-0fa10f03cc71-full,talk_politics_misc
groups/talk.politics.misc/178870,a75d9000-989c-4b30-838c-3768746c9e0c.png,a75d9000-989c-4b30-838c-3768746c9e0c-full,talk_politics_misc
groups/talk.politics.misc/176882,70824d37-0435-4f10-9de6-346917927eb1.png,70824d37-0435-4f10-9de6-346917927eb1-full,talk_politics_misc
groups/talk.politics.misc/178513,41a51d0f-ed4a-41af-be76-833f9051e5b2.png,41a51d0f-ed4a-41af-be76-833f9051e5b2-full,talk_politics_misc
groups/talk.politics.misc/178415,e0684e97-c596-40ad-bcaa-adccb82a0125.png,e0684e97-c596-40ad-bcaa-adccb82a0125-full,talk_politics_misc
groups/talk.politics.misc/179011,1c5bf9b7-4ac4-472c-9c7a-6e5f7557080a.png,1c5bf9b7-4ac4-472c-9c7a-6e5f7557080a-full,talk_politics_misc
groups/talk.politics.misc/176897,56b95907-cf54-4d29-b72f-579b4aeb8184.png,56b95907-cf54-4d29-b72f-579b4aeb8184-full,talk_politics_misc
groups/talk.politics.misc/178701,9f9afca9-41df-4a08-a638-0d72ad0fc51a.png,9f9afca9-41df-4a08-a638-0d72ad0fc51a-full,talk_politics_misc
groups/talk.politics.misc/178381,ce2ff0d9-4f5e-493b-877f-69f558fb48f6.png,ce2ff0d9-4f5e-493b-877f-69f558fb48f6-full,talk_politics_misc
