index,short_doc,full_doc,category_gold,hidden_label,category_gold_reason,_golden
groups/sci.med/58963,258268d7-025e-4b66-8086-efb2ea1a3888.png,258268d7-025e-4b66-8086-efb2ea1a3888-full,sci_med,sci_med,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.hockey/54525,84926246-8ea1-48e8-b040-b800b79c4e39.png,84926246-8ea1-48e8-b040-b800b79c4e39-full,rec_sport_hockey,rec_sport_hockey,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/77318,402a95c1-7f78-45bd-8838-21ab436d2a0b.png,402a95c1-7f78-45bd-8838-21ab436d2a0b-full,talk_politics_mideast,talk_politics_mideast,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.motorcycles/104634,04e78f66-7b12-48d6-93a8-064ecd893412.png,04e78f66-7b12-48d6-93a8-064ecd893412-full,rec_motorcycles,rec_motorcycles,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/77203,9f9cae1f-f4f9-41ab-a7b5-1c2a61fad94f.png,9f9cae1f-f4f9-41ab-a7b5-1c2a61fad94f-full,talk_politics_mideast,talk_politics_mideast,The author of this text originally posted it under the indicated category.,TRUE
groups/soc.religion.christian/21581,963ba499-d420-4f1f-8470-d0818a46d6d8.png,963ba499-d420-4f1f-8470-d0818a46d6d8-full,soc_religion_christian,soc_religion_christian,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.misc/176864,4547fb76-4fca-4700-b123-febfd9887c46.png,4547fb76-4fca-4700-b123-febfd9887c46-full,talk_politics_misc,talk_politics_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/76104,b9c845c4-7b9c-41f0-8182-c3e035f36544.png,b9c845c4-7b9c-41f0-8182-c3e035f36544-full,talk_politics_mideast,talk_politics_mideast,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.electronics/53803,61d30f6c-39ca-4a6b-a4cc-f8c7b1cd1c17.png,61d30f6c-39ca-4a6b-a4cc-f8c7b1cd1c17-full,sci_electronics,sci_electronics,The author of this text originally posted it under the indicated category.,TRUE
groups/soc.religion.christian/21320,f5b23293-884d-43d2-8ec5-8c77e2d5287f.png,f5b23293-884d-43d2-8ec5-8c77e2d5287f-full,soc_religion_christian,soc_religion_christian,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.sys.ibm.pc.hardware/61048,61766ea7-bbd0-48f9-8b84-4fe3efaaaf27.png,61766ea7-bbd0-48f9-8b84-4fe3efaaaf27-full,comp_sys_ibm_pc_hardware,comp_sys_ibm_pc_hardware,The author of this text originally posted it under the indicated category.,TRUE
groups/alt.atheism/53129,2435045e-2d6f-4461-b12c-9acfa70cf502.png,2435045e-2d6f-4461-b12c-9acfa70cf502-full,alt_atheism,alt_atheism,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/76307,351acf67-6dfb-4b1f-a077-353973134bf5.png,351acf67-6dfb-4b1f-a077-353973134bf5-full,talk_politics_mideast,talk_politics_mideast,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.sys.mac.hardware/51909,0ead6463-621a-455b-bc17-5245a44fe92c.png,0ead6463-621a-455b-bc17-5245a44fe92c-full,comp_sys_mac_hardware,comp_sys_mac_hardware,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.autos/101562,e63684b1-cd26-423e-a784-d48de277ac02.png,e63684b1-cd26-423e-a784-d48de277ac02-full,rec_autos,rec_autos,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.med/58104,75400707-1e5f-4fb2-9625-7c50e273249c.png,75400707-1e5f-4fb2-9625-7c50e273249c-full,sci_med,sci_med,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.os.ms-windows.misc/9962,58cd8bd6-7061-4808-b8cd-96a8d2a1c356.png,58cd8bd6-7061-4808-b8cd-96a8d2a1c356-full,comp_os_ms-windows_misc,comp_os_ms-windows_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.guns/54665,deff20e8-5a6e-4611-835d-832c549511bd.png,deff20e8-5a6e-4611-835d-832c549511bd-full,talk_politics_guns,talk_politics_guns,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.hockey/53931,d4b8df61-dcbb-4f8e-a452-89fd5ff902d8.png,d4b8df61-dcbb-4f8e-a452-89fd5ff902d8-full,rec_sport_hockey,rec_sport_hockey,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.guns/54606,0b2bd440-9b35-4539-96b1-cd3f634673d9.png,0b2bd440-9b35-4539-96b1-cd3f634673d9-full,talk_politics_guns,talk_politics_guns,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.motorcycles/104398,3533efcc-2559-4b18-bf9a-9518bab5bdd9.png,3533efcc-2559-4b18-bf9a-9518bab5bdd9-full,rec_motorcycles,rec_motorcycles,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.autos/101564,d8b68146-f72a-4473-affa-eed8efec4eb6.png,d8b68146-f72a-4473-affa-eed8efec4eb6-full,rec_autos,rec_autos,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.sys.ibm.pc.hardware/61125,7e0e1a21-ef26-425a-b4a0-9479449040d8.png,7e0e1a21-ef26-425a-b4a0-9479449040d8-full,comp_sys_ibm_pc_hardware,comp_sys_ibm_pc_hardware,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.religion.misc/83568,66edc21a-9fc5-4ae0-9d6f-c7d39d2d0c31.png,66edc21a-9fc5-4ae0-9d6f-c7d39d2d0c31-full,talk_religion_misc,talk_religion_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/misc.forsale/76298,50d8a27f-9d86-4351-a225-241bdbb03a2e.png,50d8a27f-9d86-4351-a225-241bdbb03a2e-full,misc_forsale,misc_forsale,The author of this text originally posted it under the indicated category.,TRUE
groups/soc.religion.christian/21749,6314b8bb-9ae1-40b4-a789-c3b395f10864.png,6314b8bb-9ae1-40b4-a789-c3b395f10864-full,soc_religion_christian,soc_religion_christian,The author of this text originally posted it under the indicated category.,TRUE
groups/misc.forsale/76329,5dfc2af5-02d0-48f9-a473-b556f64c9ef5.png,5dfc2af5-02d0-48f9-a473-b556f64c9ef5-full,misc_forsale,misc_forsale,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.windows.x/67248,3f794edb-c1c9-43b2-9412-3ffba060b936.png,3f794edb-c1c9-43b2-9412-3ffba060b936-full,comp_windows_x,comp_windows_x,The author of this text originally posted it under the indicated category.,TRUE
groups/soc.religion.christian/21425,c9395644-332a-469d-9c91-68fae190ae4d.png,c9395644-332a-469d-9c91-68fae190ae4d-full,soc_religion_christian,soc_religion_christian,The author of this text originally posted it under the indicated category.,TRUE
groups/misc.forsale/76024,35e2be85-eac7-4bdc-aac2-39ee1e1e2960.png,35e2be85-eac7-4bdc-aac2-39ee1e1e2960-full,misc_forsale,misc_forsale,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.religion.misc/82805,2d76b824-6ac5-4df5-897f-b11d01f1b089.png,2d76b824-6ac5-4df5-897f-b11d01f1b089-full,talk_religion_misc,talk_religion_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/76357,3529df02-c2e1-4842-9e54-ed60a4175c17.png,3529df02-c2e1-4842-9e54-ed60a4175c17-full,talk_politics_mideast,talk_politics_mideast,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.space/60869,c303ab41-7aa3-43c6-9aae-384301c9257c.png,c303ab41-7aa3-43c6-9aae-384301c9257c-full,sci_space,sci_space,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.os.ms-windows.misc/10182,0b638da9-0fb8-427f-af0d-90864ab7ec12.png,0b638da9-0fb8-427f-af0d-90864ab7ec12-full,comp_os_ms-windows_misc,comp_os_ms-windows_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.baseball/105024,dd5f8958-fb5a-4f84-9241-fbbbeea51399.png,dd5f8958-fb5a-4f84-9241-fbbbeea51399-full,rec_sport_baseball,rec_sport_baseball,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.baseball/104895,76a41d24-edff-4370-aaed-fad8143677cd.png,76a41d24-edff-4370-aaed-fad8143677cd-full,rec_sport_baseball,rec_sport_baseball,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.guns/55247,710fb81b-bd0c-4a90-9eb6-daf001b701dc.png,710fb81b-bd0c-4a90-9eb6-daf001b701dc-full,talk_politics_guns,talk_politics_guns,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.graphics/38223,9dcb36c9-0c94-42e4-84da-a2dddb3bee1a.png,9dcb36c9-0c94-42e4-84da-a2dddb3bee1a-full,comp_graphics,comp_graphics,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/76077,879196c5-1e44-4b4e-9643-fd49a3be6d7a.png,879196c5-1e44-4b4e-9643-fd49a3be6d7a-full,talk_politics_mideast,talk_politics_mideast,The author of this text originally posted it under the indicated category.,TRUE
groups/misc.forsale/76120,4b3ff437-e055-4914-a819-c28782112ef7.png,4b3ff437-e055-4914-a819-c28782112ef7-full,misc_forsale,misc_forsale,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/76117,3492870c-d988-4d42-a686-2e99dfaa40d9.png,3492870c-d988-4d42-a686-2e99dfaa40d9-full,talk_politics_mideast,talk_politics_mideast,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.hockey/54161,9ff1e05e-e9ab-4891-ab0a-504c25f27d19.png,9ff1e05e-e9ab-4891-ab0a-504c25f27d19-full,rec_sport_hockey,rec_sport_hockey,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.autos/103361,fa9e2513-0048-48e4-9f14-8b2cd27cb6e7.png,fa9e2513-0048-48e4-9f14-8b2cd27cb6e7-full,rec_autos,rec_autos,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/76483,5dafa479-a052-482e-8e10-3d80a38734d1.png,5dafa479-a052-482e-8e10-3d80a38734d1-full,talk_politics_mideast,talk_politics_mideast,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.sys.ibm.pc.hardware/58976,b246300e-94f6-43b5-b03d-1f3022d6ec06.png,b246300e-94f6-43b5-b03d-1f3022d6ec06-full,comp_sys_ibm_pc_hardware,comp_sys_ibm_pc_hardware,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.sys.ibm.pc.hardware/60226,c52c68e7-3a81-4d39-ba97-067c8620cbc9.png,c52c68e7-3a81-4d39-ba97-067c8620cbc9-full,comp_sys_ibm_pc_hardware,comp_sys_ibm_pc_hardware,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.windows.x/67530,4b72f0e8-6429-4137-91be-fc34b099f465.png,4b72f0e8-6429-4137-91be-fc34b099f465-full,comp_windows_x,comp_windows_x,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.religion.misc/83593,acd2d86e-0f6e-498a-9ff9-b19219f58b22.png,acd2d86e-0f6e-498a-9ff9-b19219f58b22-full,talk_religion_misc,talk_religion_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.sys.ibm.pc.hardware/60416,f7ae2d2f-38a0-4d3c-9162-ac84cc112eb8.png,f7ae2d2f-38a0-4d3c-9162-ac84cc112eb8-full,comp_sys_ibm_pc_hardware,comp_sys_ibm_pc_hardware,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.guns/54322,df244337-01eb-4e39-a16d-2b43a2c1b712.png,df244337-01eb-4e39-a16d-2b43a2c1b712-full,talk_politics_guns,talk_politics_guns,The author of this text originally posted it under the indicated category.,TRUE
groups/alt.atheism/53414,ca9a4682-d270-4972-a3e6-fc9f9cda0753.png,ca9a4682-d270-4972-a3e6-fc9f9cda0753-full,alt_atheism,alt_atheism,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.electronics/53694,09ee53ed-0865-41b4-bf8e-6f39ad327d2e.png,09ee53ed-0865-41b4-bf8e-6f39ad327d2e-full,sci_electronics,sci_electronics,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.autos/103155,ff990499-faee-4a92-9fb0-e8b053c49c37.png,ff990499-faee-4a92-9fb0-e8b053c49c37-full,rec_autos,rec_autos,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.space/60160,94d7c174-9cae-4b6d-8a6f-e4f965ef648f.png,94d7c174-9cae-4b6d-8a6f-e4f965ef648f-full,sci_space,sci_space,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.religion.misc/83828,361a9380-7eab-4cff-adf7-7ee8d3a6cd65.png,361a9380-7eab-4cff-adf7-7ee8d3a6cd65-full,talk_religion_misc,talk_religion_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/76042,a27af203-40f7-4f1d-862c-5d97359b7682.png,a27af203-40f7-4f1d-862c-5d97359b7682-full,talk_politics_mideast,talk_politics_mideast,The author of this text originally posted it under the indicated category.,TRUE
groups/alt.atheism/54218,72f99501-14ac-4222-a436-d0cf840f61ca.png,72f99501-14ac-4222-a436-d0cf840f61ca-full,alt_atheism,alt_atheism,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.sys.ibm.pc.hardware/61093,0ac3d091-0372-4769-9a58-1a00b55ed604.png,0ac3d091-0372-4769-9a58-1a00b55ed604-full,comp_sys_ibm_pc_hardware,comp_sys_ibm_pc_hardware,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/77805,12fbe5ff-b492-4202-becb-9a3fcd2c0ecc.png,12fbe5ff-b492-4202-becb-9a3fcd2c0ecc-full,talk_politics_mideast,talk_politics_mideast,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.hockey/54302,7468af24-b957-44e0-9c9b-e687749a7460.png,7468af24-b957-44e0-9c9b-e687749a7460-full,rec_sport_hockey,rec_sport_hockey,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.space/61504,5dc4089e-7be9-413d-92bc-d3ebd3d7be21.png,5dc4089e-7be9-413d-92bc-d3ebd3d7be21-full,sci_space,sci_space,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.religion.misc/82789,0eebb576-110f-42ef-81dc-30d037abea1f.png,0eebb576-110f-42ef-81dc-30d037abea1f-full,talk_religion_misc,talk_religion_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/77198,5cdeaa05-f704-4cb9-bf94-44a47547362a.png,5cdeaa05-f704-4cb9-bf94-44a47547362a-full,,talk_politics_mideast,,
