index,category_gold,document
384,alt.atheism,re where are they now a in article qi innf n senator bedfellow mit edu tcbruno athena mit edu tom bruno writes stuff deleted which brings me to the point of my posting how many people out there have been around alt atheism since i ve done my damnedest to stay on top of more stuff deleted hmm usenet got it s collective hooks into me around or so right after i switched to engineering i d say i started reading alt atheism around i ve probably not posted more than messages in the time since then though i ll never understand how people can find the time to write so much i can barely keep up as it is ed mccreary o edm twisto compaq com if it were not for laughter there would be no tao
1860,comp.sys.ibm.pc.hardware,help me select a backup solution hi netters i m looking at purchasing some sort of backup solution after you read about my situation i d like your opinion here s the scenario there are two computers in the house one is a small mb ide drive the other is a dx scsi drive w adaptec controller both systems have pc tools and will use central point backup as the backup restore program both systems have and floppies the computers are not networked nor will they be anytime soon from what i have seen so far there appear to be at least possible solutions i m sure there are others i haven t thought about for these options i would appreciate hearing from anyone who has tried them or sees any flaws drive type x won t coexist with device y etc in my thinking i don t know very much about these beasts put mb floppy drives or a combination drive on each system can someone supply cost and brand information what s a good brand what do the floppies themselves cost put an internal tape backup unit on the using my scsi adapter and continue to back up the with floppies again can someone recommend a few manufacturers the only brand i remember is colorado memories any happy or unhappy users i know about the compression controversy connect an external tape backup unit on the using my scsi adapter and maybe connect it to the somehow any suggestions install a floptical drive in each machine again any gotcha s or recommendations for manufacturers i appreciate your help you may either post or send me e mail i will summarize all responses for the net thanks george george j pandelios internet gjp sei cmu edu software engineering institute usenet sei gjp fifth avenue voice pittsburgh pa fax disclaimer these opinions are my own and do not reflect those of the software engineering institute its sponsors customers clients affiliates or carnegie mellon university in fact any resemblence of these opinions to any individual living or dead fictional or real is purely coincidental so there
3190,comp.windows.x,help on xlib and include files hi xperts i have a sparc with very limited disk space on usr partition previously i was able to run all x windows applications and then i upgraded my system to sun o s and realized that the hard disk did not have enough space to load openwindows my immediate alternative was to load only the neccessary files to boot the system this resulted in not loading openwindows as a result of which none of the x libraries got loaded i am trying to load just the libraries and include files and bin x files required for running x windows and compiling my programs written for xlib and xaw in a desperate effort to regain x windows i retrieved usr lib libx files from the tape usr bin x and usr include x is this enough for running x windows but i did not get usr lib x fonts sub directories these are mainly dpi dpi and misc when i run xinit the error message says usr lib x fonts dpi etc are not in the default path but the problem is i cannot load any of those directories as there is no disk space are there any temporary suggestions before i get a gb disk and load openwindows to just have my x windows running thanks pramod
5811,rec.sport.hockey,lindros will be traded true rumor fact a big three way deal eric lindros going to ottawa senators and senators get mill from montreal montreal gets alexander daigle the first round pick from senators philly gets damphousse bellow patrick roy and a draft pick shadow r node gts org if it s there and you can see it it s real if it s there and you can t see it it s transparent if it s not there and you can t see it you erased it
6416,sci.crypt,clipper chip and crypto key escrow this document is in the anonymous ftp directory at nist looks to me like the other shoe has dropped jim gillogly trewesday astron s r note this file will also be available via anonymous file transfer from csrc ncsl nist gov in directory pub nistnews and via the nist computer security bbs at the white house office of the press secretary for immediate release april statement by the press secretary the president today announced a new initiative that will bring the federal government together with industry in a voluntary program to improve the security and privacy of telephone communications while meeting the legitimate needs of law enforcement the initiative will involve the creation of new products to accelerate the development and use of advanced and secure telecommunications networks and wireless communications links for too long there has been little or no dialogue between our private sector and the law enforcement community to resolve the tension between economic vitality and the real challenges of protecting americans rather than use technology to accommodate the sometimes competing interests of economic growth privacy and law enforcement previous policies have pitted government against industry and the rights of privacy against law enforcement sophisticated encryption technology has been used for years to protect electronic funds transfer it is now being used to protect electronic mail and computer files while encryption technology can help americans protect business secrets and the unauthorized release of personal information it also can be used by terrorists drug dealers and other criminals a state of the art microcircuit called the clipper chip has been developed by government engineers the chip represents a new approach to encryption technology it can be used in new relatively inexpensive encryption devices that can be attached to an ordinary telephone it scrambles telephone communications using an encryption algorithm that is more powerful than many in commercial use today this new technology will help companies protect proprietary information protect the privacy of personal phone conversations and prevent unauthorized release of data transmitted electronically at the same time this technology preserves the ability of federal state and local law enforcement agencies to intercept lawfully the phone conversations of criminals a key escrow system will be established to ensure that the clipper chip is used to protect the privacy of law abiding americans each device containing the chip will have two unique keys numbers that will be needed by authorized government agencies to decode messages encoded by the device when the device is manufactured the two keys will be deposited separately in two key escrow data bases that will be established by the attorney general access to these keys will be limited to government officials with legal authorization to conduct a wiretap the clipper chip technology provides law enforcement with no new authorities to access the content of the private conversations of americans to demonstrate the effectiveness of this new technology the attorney general will soon purchase several thousand of the new devices in addition respected experts from outside the government will be offered access to the confidential details of the algorithm to assess its capabilities and publicly report their findings the chip is an important step in addressing the problem of encryption s dual edge sword encryption helps to protect the privacy of individuals and industry but it also can shield criminals and terrorists we need the clipper chip and other approaches that can both provide law abiding citizens with access to the encryption they need and prevent criminals from using it to hide their illegal activities in order to assess technology trends and explore new approaches like the key escrow system the president has directed government agencies to develop a comprehensive policy on encryption that accommodates the privacy of our citizens including the need to employ voice or data encryption for business purposes the ability of authorized officials to access telephone calls and data under proper court or other legal order when necessary to protect our citizens the effective and timely use of the most modern technology to build the national information infrastructure needed to promote economic growth and the competitiveness of american industry in the global marketplace and the need of u s companies to manufacture and export high technology products the president has directed early and frequent consultations with affected industries the congress and groups that advocate the privacy rights of individuals as policy options are developed the administration is committed to working with the private sector to spur the development of a national information infrastructure which will use new telecommunications and computer technologies to give americans unprecedented access to information this infrastructure of high speed networks information superhighways will transmit video images hdtv programming and huge data files as easily as today s telephone system transmits voice since encryption technology will play an increasingly important role in that infrastructure the federal government must act quickly to develop consistent comprehensive policies regarding its use the administration is committed to policies that protect all americans right to privacy while also protecting them from those who break the law further information is provided in an accompanying fact sheet the provisions of the president s directive to acquire the new encryption technology are also available for additional details call mat heyman national institute of standards and technology questions and answers about the clinton administration s telecommunications initiative q does this approach expand the authority of government agencies to listen in on phone conversations a no clipper chip technology provides law enforcement with no new authorities to access the content of the private conversations of americans q suppose a law enforcement agency is conducting a wiretap on a drug smuggling ring and intercepts a conversation encrypted using the device what would they have to do to decipher the message a they would have to obtain legal authorization normally a court order to do the wiretap in the first place they would then present documentation of this authorization to the two entities responsible for safeguarding the keys and obtain the keys for the device being used by the drug smugglers the key is split into two parts which are stored separately in order to ensure the security of the key escrow system q who will run the key escrow data banks a the two key escrow data banks will be run by two independent entities at this point the department of justice and the administration have yet to determine which agencies will oversee the key escrow data banks q how strong is the security in the device how can i be sure how strong the security is a this system is more secure than many other voice encryption systems readily available today while the algorithm will remain classified to protect the security of the key escrow system we are willing to invite an independent panel of cryptography experts to evaluate the algorithm to assure all potential users that there are no unrecognized vulnerabilities q whose decision was it to propose this product a the national security council the justice department the commerce department and other key agencies were involved in this decision this approach has been endorsed by the president the vice president and appropriate cabinet officials q who was consulted the congress industry a we have on going discussions with congress and industry on encryption issues and expect those discussions to intensify as we carry out our review of encryption policy we have briefed members of congress and industry leaders on the decisions related to this initiative q will the government provide the hardware to manufacturers a the government designed and developed the key access encryption microcircuits but it is not providing the microcircuits to product manufacturers product manufacturers can acquire the microcircuits from the chip manufacturer that produces them q who provides the clipper chip a mykotronx programs it at their facility in torrance california and will sell the chip to encryption device manufacturers the programming function could be licensed to other vendors in the future q how do i buy one of these encryption devices a we expect several manufacturers to consider incorporating the clipper chip into their devices q if the administration were unable to find a technological solution like the one proposed would the administration be willing to use legal remedies to restrict access to more powerful encryption devices a this is a fundamental policy question which will be considered during the broad policy review the key escrow mechanism will provide americans with an encryption product that is more secure more convenient and less expensive than others readily available today but it is just one piece of what must be the comprehensive approach to encryption technology which the administration is developing the administration is not saying since encryption threatens the public safety and effective law enforcement we will prohibit it outright as some countries have effectively done nor is the u s saying that every american as a matter of right is entitled to an unbreakable commercial encryption product there is a false tension created in the assessment that this issue is an either or proposition rather both concerns can be and in fact are harmoniously balanced through a reasoned balanced approach such as is proposed with the clipper chip and similar encryption techniques q what does this decision indicate about how the clinton administration s policy toward encryption will differ from that of the bush administration a it indicates that we understand the importance of encryption technology in telecommunications and computing and are committed to working with industry and public interest groups to find innovative ways to protect americans privacy help businesses to compete and ensure that law enforcement agencies have the tools they need to fight crime and terrorism q will the devices be exportable will other devices that use the government hardware a voice encryption devices are subject to export control requirements case by case review for each export is required to ensure appropriate use of these devices the same is true for other encryption devices one of the attractions of this technology is the protection it can give to u s companies operating at home and abroad with this in mind we expect export licenses will be granted on a case by case basis for u s companies seeking to use these devices to secure their own communications abroad we plan to review the possibility of permitting wider exportability of these products jim gillogly trewesday astron s r
3673,misc.forsale,apology printing dear fellow usenet users i would like to give a formal apology for posting an advertisement about my printing business i did not intend this to be an advertisement but rather an offer for people on the usenet many of whom use printing on a regular basis i was not aware that this is not legal on the usenet i am only trying to put myself through college for those of you who requested information i will write to you privately for those of you who are having fun flooding my mailbox i think you can grow up to offer advice is one thing but to use profanity toward me is another thank you marc me albnyvms bitnet
10905,talk.politics.misc,re new study out on gay percentage in article apr hemlock cray com rja mahogany cray com russ anderson writes in article optilink com cramer optilink com clayton cramer writes from the santa rosa cal press democrat april p b male sex survey gay activity low a new natonal study on male sexual behavior the most thorough examination of american men s sexual practices published since the kinsey report more than four decades ago shows about percent of the men surveyed had engaged in homosexual sex and percent considered themselves exclusively homosexual actually what the study shows is that percent of the men surveyed said they engaged in homosexual sex and percent said they considered themselves exclusively homosexual yes and of course the kinsey report taken years ago in much more liberal times regarding homosexuality the point being that what people say and what they acutally do may be different it is interesting that this clip from the newspaper did not mention that difference maybe it is conservative media bias or smart enough to realize that that argument would have to apply to every survey regarding homosexuality therefore they would look stupid actually idid see bryant gumble bring that point up hee hee the figures on homosexuality in the study released wednesday by the alan guttmacher institute are significantly lower than the percent figure that has been part of the conventional wisdom since it was published in the kinsey report ryan
7941,sci.med,re krillean photography vinci filipe vxcrna cern ch wrote how about kirlian imaging i believe the faq for sci skeptics sp has a nice write up on this they would certainly be most supportive on helping you to build such a device and connect to a kvolt supply so that you can take a serious look at your aura filipe santos cern european laboratory for particle physics switzerland this has to be the only generally accepted method of using common physics lab equipment to find certain answers to all the questions about afterlifes heavens hells purgatory gods etc krillean photography will probably be ignored as insignificant compared to these larger eternal verities publishing your results could be a bit of a problem though cheers david
7389,sci.electronics,re food dehydrators does anybody out there have one of those food dehydrators i ve been seeing all over late night tv recently i was wondering if they use forced air heat or both if there s heat involved anybody know what temperature they run at my wife would like one and i m not inclined to pay for a box a fan and a heater seems to me you should be able to throw a dehydrator together for just a few bucks heck the technology is only what years old yeah but years ago you couldn t buy it from a guy with sprayed on hair
10696,talk.politics.misc,re propaganda re re fillibuster in article c otox bji dscomsa desy de hallam dscomsa desy de phill hallam baker writes in article veal utkvm utk edu veal utkvm utk edu david veal writes in article c n wh izv dscomsa desy de hallam dscomsa desy de phill hallam baker writes or are they simply propogranda we can t know what phill really means because he s obviously using arguments designed to convince i make no secret of what i am up to i have stated explicitly in posts that i am a political propagandist on numerous occasions anyone posting to this group who is not probably has the wrong group for example i have on numerous occasions stated quite clearly that i beleive that certain factions of the gun lobby are the worst possible advocates of their cause and i am prepared to do anything in my power to provide them with a platform because they can convince people far better than i could hope that many people with a fixation on lethal weapons are dangerous and derranged if you happen to know a political position which does not have people advocating it who do more harm than good please point it out some people have even accused me of inventing such advocates purely for the purpose of having them trash a set of political views in fact this would be a futile tactic because i could never hope to invent a character as dangerous as sybok athena edu a man who i quite seriously believe to be mentaly ill and a potential psychopath unfortunately the local sherifs office have informed me that they are unable to act untill he attacks someone one of the advantages and draw backs of requiring proof on the part of the government before they may take action against citizens and part of the reason some of us believe weapons should be available so if you were to ask me what is the point that i am trying to make from this current argument on the absolute sanctity of the us constitution what would i answer we are not arguing the absolute sanctity of the u s constitution in fact the fillibuster we re talking about isn t in the constitution i objected to your suggestion that the senate wasn t intended to exercise the power it was clearly given firstly i see that the current us political scene like the uk political scene has become tied to special interests rather than chase the convenient caricatures put about by the media and polititians themselves for this gay rights cmapaigners environmentalists zionists i e jews foreign lobbyists whatever voting power they have etc i sugest that you look at who is really benefiting the inevitable conclusion is that it is the major corporations owned by the ultra wealthy that have benefited regan and bush created what can only be described as a welfare state for the rich i ll point out again that reagan only had a republican majority in the senate during his first term and his coalition in the house came apart at about the same time bush never had any real support in congress the real point is that everybody everywhere got their pork from the big corporations to the guy i saw last night leaving a convenience store with an armful of junk food he d bought with food stamps he spent more in food stamps on junk than i make in a week and i m not on government assitance money was diverted from programs addressing social needs and poured into the weapons industry in the form of cost plus profits contracts lessee let s pull out the old almanac in total u s government budget outlays were billion dollars in est they were trillion dollars an increase of approx billion dollars in national defense cost billion dollars in it was billion dollars and increase of billion dollars that leaves an increase of billion dollars unaccounted for this represented an increase of in income security which includes retirement programs housing assitance and unemployment benefits and i believe welfare cost billion dollars in it was billion dollars or more than national defense started this represented an increase of in the federal government spent billion dollars on medicare in they spent billion dollars an increase of in the feds spent billion dollars on housing credits and subsidies of that like in it was billion in health care services and research was billion dollars in it was billion dollars agriculture up billion to billion science up billion to billion resource conservation up billion to billion education up billion to billion veteran benefits up billion to billion trasnportation up billion to billion about the only things i see which was seriously decreased was under the energy category primarily under supply and community development in the area of disaster relief and between the two of them represent a loss of less than billion dollars where was this huge diversion in order to rectify this situation there must be constitutional revision not that s a stretch if the current government was pushed by the president to create this mess wouldn t one expect it to begin to equalize once the pressure is gone secondly the form of this revision must take account of the changed circumsatnces of the role of the federal government only assuming that the new role is a positive role we want to continue i see very little positive about it the constitution cannot be used to frustrate the democratic process the constitution was designed to frustrate the democratic process so that the voters could be absolutely sure they were getting what they wanted by the time it happened nor do i see putting the brakes on the democratic process an inherently bad thing califronia s riding the edge and every time they pull their ballot initiative nonsense it gets worse if the peoplr want to have welfare spending by the federal government they will have it sometimes or perhaps most of the time the people should be told no and pointed to their local government attempting to prevent this through constitutional trickery only leads to the constitution being brought into disrepute phill would you do me the very great favor of repeating that in talk politics guns methods will always be found to bypass such provisions and once the government gets used to bypassing those provisions they will bypass the others up to the first ammendment cute we can eliminate violations of the law by eliminating the law this is a major reason why the right to own guns should be excluded the implication that this right is equal to the right to free speech is dangerous free speech alone is dangerous phill people know that mass ownership of lethal weapons causes thousands of murders a year the dangerous conclusion they may reach is that the first ammendment may also be the same dangerous mistake ok phill all you gotta show me is a clear pattern of reduction in homicide rates across several countries and that ll be it not current mind you reduction note however that this is not the slippery slope argument it is because the right freedom of speech has been chained to the privilege to own weaponry that the danger arises the advocates of this pivilege must not be allowed to chain freedom of speech to their cause such that if they fall freedom of speech falls as well such actions are not the actions of people genuinely interested in freedom who s chaining anything to freedom of speech by calling it a freedom thirdly and most importantly i want to discover a mechanism wherby i can engender intellectual debate as opposed to totemic debate i consider the grave threat to civilisation to be the loss of the ability to reason about the political debate at anything other than the superficial level the objection i raise to your basing your case entirely on the assertion of the supremacy of the us constitution is that the currency of your argument is limited to the currency of the totem upon which it is based the danger of totems is that they can be reinterpreted in different ways by different people phill you re a master of subtly changing the subject i haven t based my argument against raw democracy on the constitution i ve tried to explain why it isn t a good idea the only time i ve referred to the constitution is to point out it doesn t contain the restrictions on the veto and the senate you appear to believe were meant but just didn t make it in there the constitution doesn t contain the fillibuster rule i only believe that the rule is a good idea you cn t dismiss that as venerating the constitution because it isn t in the constitution david veal univ of tenn div of cont education info services group pa utkvm utk edu i still remember the way you laughed the day your pushed me down the elevator shaft i m beginning to think you don t love me anymore weird al
